"","date","gdp","gov_con","pub_inv","priv_inv","x","m","pop","growth_pop","log_gdp_pc","gov_gdp","gov_con_gdp","pub_inv_gdp","priv_inv_gdp","tr_op","growth_gdp_pc","d_2008","d_2018"
"33",2014-01-01,39374741430.2157,10562654726.4468,4552954589.56353,15228493076.5156,34181433986.861,44190613159.9693,6303139,0.0052003578644868,8.73983204597626,0.383891011520669,0.268259659435913,0.115631352084757,0.386757919502917,1.99041426813506,-0.00446313983701851,0,0
"34",2014-04-01,39410617570.6659,10661115149.278,4523113645.96826,15204691595.0663,34591463087.439,46403140726.894,6319442,0.002586489049345,8.73815962734976,0.385282691092569,0.270513780459336,0.114768910633232,0.385801911573785,2.05514678041023,-0.000191355922825709,0,0
"35",2014-07-01,40403368435.9902,10488646219.7763,3711310737.58828,15591824156.1104,35971072126.6252,46886229395.1164,6335896,0.00260371089725964,8.76043719736603,0.351454779812755,0.259598311373298,0.0918564684394568,0.385904065915001,2.05075231915403,0.00254945789117289,0,0
"36",2014-10-01,43162533290.1823,12326262166.9972,5792838998.51204,19691901545.5912,34062331372.9639,52774298086.3304,6352515,0.00262299128647303,8.82387731548905,0.419787713656524,0.285577820099844,0.13420989355668,0.456226732875068,2.01185201238052,0.00724166119723879,0,0
"37",2015-01-01,41194258792.8703,13620309048.3214,5217075805.70716,18351176273.4464,35047178572.1487,47102950469.8597,6385245,0.00515229007723716,8.77206431600913,0.457281801057404,0.33063609948187,0.126645701575534,0.445478977197242,1.99421306389002,-0.00587190841705931,0,0
"38",2015-04-01,40573712775.4509,9455772960.94942,6537498005.48911,17736189265.7983,34739908670.289,49528636975.4583,6401820,0.00259582835114402,8.75429334236785,0.394178148175664,0.233051705504028,0.161126442671636,0.437134983528782,2.07692468550065,-0.00202585993457094,0,0
"39",2015-07-01,42971945220.099,11565942716.4531,5525089927.00751,19085430365.4734,35845089833.3095,50503621673.7993,6418495,0.00260472803046641,8.80911907846001,0.39772536607132,0.269151016022505,0.128574350048815,0.44413698909182,2.00942058975541,0.00626272549342488,0,0
"40",2015-10-01,45391650959.6473,14218840924.0611,8779692948.22844,20519291203.8994,33742043189.8389,54918841925.0944,6435097,0.00258658766580022,8.86131655280105,0.506668812128799,0.313247934883477,0.193420877245322,0.452049898386398,1.95324213242986,0.00592539093592981,0,0
"41",2016-01-01,42846481966.9671,13088767500.2938,7158657013.79417,18385622915.3047,36184306199.3242,49839109268.5014,6465879,0.00478345547860437,8.79883985367575,0.472557455935307,0.305480564551011,0.167076891384296,0.429104609556492,2.00771245429546,-0.00705049850696804,0,0
"42",2016-04-01,43397253555.539,13222957446.145,6794895606.37289,19207441334.6645,37916499101.6846,52330561852.5583,6477293,0.00176526656313869,8.80984875978561,0.461270043895736,0.304695720645604,0.156574323250132,0.442595781092074,2.07955696640449,0.00125117700662059,0,0
"43",2016-07-01,44470435404.3741,12732628349.3188,6010740385.06999,19500910131.7849,38052070751.3386,52460972807.077,6502124,0.00383354589641072,8.8304509816705,0.421479316852949,0.28631670082696,0.13516261602599,0.438514036448288,2.03535321242914,0.0023385443322177,0,0
"44",2016-10-01,47180750988.5889,15944519209.9237,8217543568.06261,19843123206.6251,35700218479.7485,54253069031.7725,6518946,0.00258715459748227,8.88702856392585,0.512116960237241,0.337945430622333,0.174171529614908,0.420576671435864,1.90656752227783,0.00640709997403199,0,0
"45",2017-01-01,46061756980.3892,14848928814.6909,6757899123.55631,20242687670.8925,44465856149.793,52664483031.2544,6552699,0.00517767749571796,8.85786129227603,0.469083885520179,0.322370004709391,0.146713880810788,0.439468422351124,2.10869809465585,-0.00328200494012298,0,0
"46",2017-04-01,45058394805.8706,13442923956.5642,7361694789.91628,18466777920.8268,44067290766.6485,54807027796.3785,6569844,0.00261647910273299,8.83322450194665,0.461725696978665,0.298344493062428,0.163381203916237,0.409841007439102,2.19435954141324,-0.00278134749647396,0,0
"47",2017-07-01,45928376859.1016,14258513186.207,7370810183.05399,19420899175.2612,42118292534.3599,56651087291.2902,6586843,0.00258742825552627,8.84976426269793,0.470935940880626,0.310451057958113,0.160484882922513,0.42285185115164,2.15050882657259,0.00187244881499815,0,0
