"","date","gdp","gov_con","pub_inv","priv_inv","x","m","pop","gdp_nom","growth_pop","log_gdp_pc","gov_gdp","gov_con_gdp","pub_inv_gdp","priv_inv_gdp","tr_op","growth_gdp_pc","d_2008","d_2018"
"32",2013-10-01,40736301136.6544,11045814876.0743,4283826118.38066,14596537897.0886,31393582422.0876,47782125343.5477,6270530,70541349947.526,0.00259277036618255,8.77901401314808,0.217314256189573,0.156586383508269,0.0607278726813038,0.206921726164109,1.1224013691903,0.00473706725275047,0,0
"33",2014-01-01,39374741430.2157,10562654726.4468,4552954589.56353,15228493076.5156,34181433986.861,44190613159.9693,6303139,73750654936.6973,0.0052003578644868,8.73983204597626,0.204955594346716,0.143221165093559,0.0617344292531569,0.206486208015192,1.06266238874895,-0.00446313983701851,0,0
"34",2014-04-01,39410617570.6659,10661115149.278,4523113645.96826,15204691595.0663,34591463087.439,46403140726.894,6319442,73592368589.7115,0.002586489049345,8.73815962734976,0.206328850208649,0.144867128937177,0.0614617212714717,0.206606906211088,1.10058427750695,-0.000191355922825709,0,0
"35",2014-07-01,40403368435.9902,10488646219.7763,3711310737.58828,15591824156.1104,35971072126.6252,46886229395.1164,6335896,78192046594.5132,0.00260371089725964,8.76043719736603,0.181603597498892,0.134139553529889,0.0474640439690027,0.199404221211477,1.05966405958679,0.00254945789117289,0,0
"36",2014-10-01,43162533290.1823,12326262166.9972,5792838998.51204,19691901545.5912,34062331372.9639,52774298086.3304,6352515,82868053243.8874,0.00262299128647303,8.82387731548905,0.218650015973987,0.148745646657343,0.0699043693166441,0.237629590351741,1.04789030344091,0.00724166119723879,0,0
"37",2015-01-01,41194258792.8703,13620309048.3214,5217075805.70716,18351176273.4464,35047178572.1487,47102950469.8597,6385245,82858815507.1279,0.00515229007723716,8.77206431600913,0.227343158826692,0.164379721879438,0.0629634369472535,0.221475242689992,0.99144706014946,-0.00587190841705931,0,0
"38",2015-04-01,40573712775.4509,9455772960.94942,6537498005.48911,17736189265.7983,34739908670.289,49528636975.4583,6401820,83006884948.0803,0.00259582835114402,8.75429334236785,0.192674029105442,0.113915526005631,0.0787585030998118,0.213671303011696,1.01519947048315,-0.00202585993457094,0,0
"39",2015-07-01,42971945220.099,11565942716.4531,5525089927.00751,19085430365.4734,35845089833.3095,50503621673.7993,6418495,88367745971.5151,0.00260472803046641,8.80911907846001,0.193408041085146,0.130884211080605,0.0625238300045413,0.215977336025132,0.977151907155613,0.00626272549342488,0,0
"40",2015-10-01,45391650959.6473,14218840924.0611,8779692948.22844,20519291203.8994,33742043189.8389,54918841925.0944,6435097,93473846296.4339,0.00258658766580022,8.86131655280105,0.246042446989442,0.152115714581476,0.0939267324079655,0.219519063533842,0.948510076644999,0.00592539093592981,0,0
"41",2016-01-01,42846481966.9671,13088767500.2938,7158657013.79417,18385622915.3047,36184306199.3242,49839109268.5014,6465879,91564338112.2594,0.00478345547860437,8.79883985367575,0.221127842252999,0.142946126954435,0.0781817152985646,0.200794581103875,0.939486018698235,-0.00705049850696804,0,0
"42",2016-04-01,43397253555.539,13222957446.145,6794895606.37289,19207441334.6645,37916499101.6846,52330561852.5583,6477293,92573448185.0683,0.00176526656313869,8.80984875978561,0.216237522151051,0.142837473437419,0.0734000487136319,0.207483265571635,0.974869822001503,0.00125117700662059,0,0
"43",2016-07-01,44470435404.3741,12732628349.3188,6010740385.06999,19500910131.7849,38052070751.3386,52460972807.077,6502124,95619926151.5258,0.00383354589641072,8.8304509816705,0.196019485569219,0.1331587343954,0.0628607511738188,0.203941907473161,0.946591858008576,0.0023385443322177,0,0
"44",2016-10-01,47180750988.5889,15944519209.9237,8217543568.06261,19843123206.6251,35700218479.7485,54253069031.7725,6518946,100503061534.712,0.00258715459748227,8.88702856392585,0.240411211449925,0.158647099565388,0.0817641118845364,0.197437997446194,0.895030321842017,0.00640709997403199,0,0
"45",2017-01-01,46061756980.3892,14848928814.6909,6757899123.55631,20242687670.8925,44465856149.793,52664483031.2544,6552699,102009215189.789,0.00517767749571796,8.85786129227603,0.211812510252603,0.145564582445461,0.0662479278071414,0.198439794220853,0.952172203269432,-0.00328200494012298,0,0
"46",2017-04-01,45058394805.8706,13442923956.5642,7361694789.91628,18466777920.8268,44067290766.6485,54807027796.3785,6569844,99849704980.8466,0.00261647910273299,8.83322450194665,0.208359341176534,0.134631584130798,0.0737277570457361,0.184945743448808,0.990231454183999,-0.00278134749647396,0,0
"47",2017-07-01,45928376859.1016,14258513186.207,7370810183.05399,19420899175.2612,42118292534.3599,56651087291.2902,6586843,101524308362.839,0.00258742825552627,8.84976426269793,0.213045759365922,0.140444327236866,0.0726014321290559,0.191293095106373,0.972864345676281,0.00187244881499815,0,0
"48",2017-10-01,49085076332.5117,17149094976.6179,11451120436.6772,19794807184.8625,40607252775.8662,63903294632.2572,6603335,110895828846.826,0.00250377912453659,8.91373549879404,0.257901633548354,0.154641478899129,0.103260154649225,0.17849911390449,0.942420905230598,0.00722858080703337,0,0
"49",2018-01-01,47256021660.4064,14847397503.0003,7616954736.15225,18801576754.3747,49193542521.4626,57833852784.1858,6638252,107193557665.667,0.00528778261287677,8.87048669153092,0.209568118908956,0.138510166341421,0.0710579525675345,0.175398383669811,0.998449884828555,-0.00485192849495775,0,1
"50",2018-04-01,42787834961.2474,13978782631.7743,5271001940.23129,17259217185.9021,42277524240.0853,54303341431.106,6659818.79967882,98340557380.7497,0.00324886727391815,8.76791683436478,0.195746140602755,0.142146668720332,0.0535994718824229,0.175504569483766,0.982106144642384,-0.0115630472975139,0,1
